department,course_name,time_credit,credit,professor,student_capacity,english_class,chinese_class,need_approval,cu_class,honors_class,engineering_certification,target_academic_year,recommended_academic_year,course_registration_notes,course_description,year,semester,course_code,course_section,timeslot,classroom,extended_syllabus
전인교육원,현대한국의형성,3.0,3.0,김가람,56,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2002,1,"월,수 10:30~11:45",K404,False
전인교육원,현대한국의형성,3.0,3.0,서진교,78,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2002,2,"월,수 12:00~13:15",K302,False
전인교육원,현대한국의형성,3.0,3.0,장종진,74,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2002,3,"화,목 09:00~10:15",K402,False
전인교육원,현대한국의형성,3.0,3.0,박주영,17,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2002,4,"수,금 15:00~16:15",K405,False
전인교육원,현대동아시아의형성,3.0,3.0,방향숙,79,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2003,1,"화,목 12:00~13:15",K302,False
전인교육원,현대동아시아의형성,3.0,3.0,이지영,28,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2003,2,"월,수 16:30~17:45",K305,False
전인교육원,현대서양의형성,3.0,3.0,강정석,76,False,False,False,False,False,False,all,"1,2",,근대시민사회의형성(SHU4017)의 대체과목/영미문화의이해(LCU4010)의 대체과목,2024,2학기,CHS2004,1,월 13:30~16:15,K201,False
전인교육원,현대서양의형성,3.0,3.0,박현숙,10,False,False,False,False,False,False,all,"1,2",,근대시민사회의형성(SHU4017)의 대체과목/영미문화의이해(LCU4010)의 대체과목,2024,2학기,CHS2004,2,"화,목 13:30~14:45",J219,False
전인교육원,현대세계와윤리문제,3.0,3.0,하유진,33,False,False,False,False,False,False,all,"1,4",,구 윤리와가치,2024,2학기,ETS2001,1,금 10:30~13:15,K405,False
전인교육원,현대세계와윤리문제,3.0,3.0,이임찬,21,False,False,False,False,False,False,all,"1,4",,구 윤리와가치,2024,2학기,ETS2001,2,월 13:30~16:15,K309,False
전인교육원,논리와비판적사고,3.0,3.0,서상복,60,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETS2002,1,"월,수 12:00~13:15",K203,False
전인교육원,논리와비판적사고,3.0,3.0,구익희,77,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETS2002,3,"화,목 15:00~16:15",K201,False
전인교육원,논리와비판적사고,3.0,3.0,구익희,76,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETS2002,4,월 13:30~16:15,K203,False
전인교육원,종교와세계문화,3.0,3.0,구은희,25,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETS2004,2,금 10:30~13:15,K203,False
전인교육원,종교와세계문화,3.0,3.0,박현준,81,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETS2004,3,"월,수 12:00~13:15",K403,False
전인교육원,종교와세계문화,3.0,3.0,노명수,11,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETS2004,4,"수,금 09:00~10:15",J104,False
전인교육원,철학적인간학,3.0,3.0,이종진,18,False,False,False,False,False,False,all,2,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,2024,2학기,HFS2001,1,"수,금 09:00~10:15",K203,False
전인교육원,철학적인간학,3.0,3.0,김선영,68,False,False,False,False,False,False,all,2,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,2024,2학기,HFS2001,2,"화,목 15:00~16:15",K402,False
전인교육원,철학적인간학,3.0,3.0,김선영,67,False,False,False,False,False,False,all,2,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,2024,2학기,HFS2001,3,"화,목 16:30~17:45",K402,False
전인교육원,철학적인간학,3.0,3.0,황정희,82,False,False,False,False,False,False,all,2,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,2024,2학기,HFS2001,5,"화,목 13:30~14:45",K302,False
