department,course_name,time_credit,credit,professor,student_capacity,english_class,chinese_class,need_approval,cu_class,honors_class,engineering_certification,target_academic_year,recommended_academic_year,course_registration_notes,course_description,year,semester,course_code,course_section,timeslot,classroom,extended_syllabus
전인교육원,생활속의심리학,3.0,3.0,윤성근,82,False,False,False,False,False,False,all,"1,4",,,2024,1학기,SHS2007,3,"화,목 10:30~11:45",MA206,False
전인교육원,한류와 미디어,3.0,3.0,박상준,45,False,False,False,False,False,False,all,"1,4",,구) KSC4003,2024,1학기,SHS2009,1,"화,목 09:00~10:15",K403,False
전인교육원,자연과인간,3.0,3.0,이덕환,58,False,False,False,False,False,False,all,1,,"자연과학부,공학부 수강불가",2024,1학기,STS2001,1,"수,금 09:00~10:15",K302,False
전인교육원,생명과환경,3.0,3.0,김종찬,77,False,False,False,False,False,False,all,1,,"자연과학부,공학부 수강불가/STU4006 자연재해와우리사회 대체과목",2024,1학기,STS2002,1,"월,수 12:00~13:15",K202,False
전인교육원,생명과환경,3.0,3.0,한징택,75,False,False,False,False,False,False,all,1,,"자연과학부,공학부 수강불가/STU4006 자연재해와우리사회 대체과목",2024,1학기,STS2002,2,"수,금 16:30~17:45",K201,False
전인교육원,생명과환경,3.0,3.0,"Lee, Hosuk Sean",73,True,False,False,False,False,False,all,1,,"자연과학부,공학부 수강불가/STU4006 자연재해와우리사회 대체과목",2024,1학기,STS2002,3,"화,목 13:30~14:45",K403,False
전인교육원,생명과환경,3.0,3.0,한징택,75,False,False,False,False,False,False,all,1,,"자연과학부,공학부 수강불가/STU4006 자연재해와우리사회 대체과목",2024,1학기,STS2002,4,"수,금 13:30~14:45",K302,False
전인교육원,미적분학I,3.0,3.0,김종수,52,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,1,"화,목 10:30~11:45",RA410,False
전인교육원,미적분학I,3.0,3.0,박준용,74,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,2,"월,수 12:00~13:15",RA310,False
전인교육원,미적분학I,3.0,3.0,최미란,69,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,3,"화,목 13:30~14:45",RA310,False
전인교육원,미적분학I,3.0,3.0,조상현,68,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,4,"화,목 12:00~13:15",RA308,False
전인교육원,미적분학I,3.0,3.0,이영록,77,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,5,"수,금 13:30~14:45",K201,False
전인교육원,미적분학I,3.0,3.0,남영우,75,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,6,"화,목 15:00~16:15",RA308,False
전인교육원,미적분학I,3.0,3.0,안소영,72,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,7,"화,목 10:30~11:45",RA308,False
전인교육원,미적분학I,3.0,3.0,유지현,65,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,8,"월,수 16:30~17:45",K203,False
전인교육원,미적분학I,3.0,3.0,조성희,69,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,9,"월,수 12:00~13:15",RA308,False
전인교육원,미적분학I,3.0,3.0,조성희,57,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,10,"월,수 16:30~17:45",RA310,False
전인교육원,미적분학I,3.0,3.0,한상현,63,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,11,"수,금 09:00~10:15",RA310,False
전인교육원,미적분학I,3.0,3.0,남영우,60,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,12,"화,목 16:30~17:45",RA308,False
전인교육원,미적분학I,3.0,3.0,안일주,72,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,13,"화,목 13:30~14:45",K203,False
전인교육원,미적분학I,3.0,3.0,신창언,71,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,14,"월,수 10:30~11:45",RA308,False
전인교육원,미적분학I,3.0,3.0,하구용,69,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,15,"화,목 09:00~10:15",K303,False
전인교육원,미적분학I,3.0,3.0,정순영,75,False,False,False,False,False,False,all,1,,,2024,1학기,STS2005,16,"화,목 12:00~13:15",RA310,False
전인교육원,미적분학I,3.0,3.0,박준용,27,True,False,False,False,False,False,all,1,,,2024,1학기,STS2005,17,"월,수 16:30~17:45",RA408,False
전인교육원,과학사,3.0,3.0,이정희,69,False,False,False,False,False,False,all,"1,2",,,2024,1학기,STS2010,1,금 10:30~13:15,K301,False
전인교육원,과학사,3.0,3.0,구재령,64,True,False,False,False,False,False,all,"1,2",,,2024,1학기,STS2010,2,월 13:30~16:15,K501,False
전인교육원,기초빅데이터프로그래밍,3.0,3.0,서경희,29,False,False,False,False,False,False,all,"2,4",,파이썬 고급과정(구 기초응용소프트웨어프로그래밍),2024,1학기,STS2011,1,"화,목 15:00~16:15",AS111,False
전인교육원,기초빅데이터프로그래밍,3.0,3.0,서경희,13,False,False,False,False,False,False,all,"2,4",,파이썬 고급과정(구 기초응용소프트웨어프로그래밍),2024,1학기,STS2011,2,"수,금 15:00~16:15",AS111,False
전인교육원,우주와원자시대,3.0,3.0,호정원,27,False,False,False,False,False,False,all,"1,4",,,2024,1학기,STU4011,2,"월,수 10:30~11:45",J107,False
