department,course_name,time_credit,credit,professor,student_capacity,english_class,chinese_class,need_approval,cu_class,honors_class,engineering_certification,target_academic_year,recommended_academic_year,course_registration_notes,course_description,year,semester,course_code,course_section,timeslot,classroom,extended_syllabus
경제학과,한국경제론,3.0,3.0,송의영,19,False,False,False,False,False,False,"2,3,4","3,4",,"선수과목 : ECO2001 경제학원론I, ECO2002 경제학원론II",2024,2학기,ECO4014,1,"화,목 16:30~17:45",GN304,False
국어국문학과,문학과문화콘텐츠,3.0,3.0,박미란,38,False,False,False,False,False,False,all,"3,4",,,2024,2학기,KOR4504,1,"수,금 13:30~14:45",J209,False
종교학과,중국종교의이해,3.0,3.0,정소이,30,True,False,False,False,False,False,all,"1,2",,,2024,2학기,REL3004,1,"화,목 10:30~11:45",J217,False
사회학과,세계사회의형성과발전,3.0,3.0,정호대,9,False,False,False,False,False,False,all,"1,4",,,2024,2학기,SOC3041,1,"수,금 09:00~10:15",D302,False
심리학과,일반심리학,3.0,3.0,홍승범,157,False,False,False,False,False,False,all,"1,4",,,2024,2학기,PSY2001,1,월 13:30~16:15,DB101,False
심리학과,일반심리학,3.0,3.0,정유선,72,False,False,False,False,False,False,all,"1,4",,,2024,2학기,PSY2001,2,"월,수 16:30~17:45",DB101,False
전인교육원,한국문화와역사,3.0,3.0,정선용,51,False,False,False,False,False,False,all,"1,2",,,2024,2학기,CHS2001,1,"화,목 13:30~14:45",K504,False
전인교육원,인물로본중국사,3.0,3.0,이미영,30,False,False,False,False,False,False,all,"1,4",,중국문명의역사(CHU4004)의 대체과목,2024,2학기,CHU4005,1,"화,목 10:30~11:45",K309,False
전인교육원,이주의역사,3.0,3.0,이수정,80,False,False,False,False,False,False,all,"1,4",,,2024,2학기,CHU4018,1,월 13:30~16:15,K301,False
전인교육원,철학산책,3.0,3.0,이솔,78,False,False,False,False,False,False,all,1,,,2024,2학기,ETS2003,1,"화,목 10:30~11:45",J311,False
전인교육원,한국문화와종교,3.0,3.0,현재우,48,False,False,False,False,False,False,all,"1,4",,,2024,2학기,ETU4010,1,"월,수 10:30~11:45",K504,False
전인교육원,"종교,폭력,평화",3.0,3.0,김명희,24,False,False,False,False,False,False,all,"2,4",,,2024,2학기,ETU4016,1,"월,수 16:30~17:45",K304,False
전인교육원,행복의추구,3.0,3.0,강선형,54,False,False,False,False,False,False,all,"1,4",,여가와놀이의철학(ETU4007)의 대체과목,2024,2학기,ETU4018,1,"월,수 15:00~16:15",D402,False
전인교육원,생명윤리,3.0,3.0,"Bretzke,James",10,True,False,False,False,False,False,all,"1,4",,,2024,2학기,HFU4003,1,"화,목 15:00~16:15",J211,False
전인교육원,치유의행복학,3.0,3.0,황정희,74,False,False,False,False,False,False,all,"1,4",,,2024,2학기,HFU4026,1,"화,목 10:30~11:45",D301,False
전인교육원,영양과다이어트,2.0,2.0,이유숙,22,False,False,False,False,False,False,all,"1,4",,,2024,2학기,HLU4001,1,화 10:30~12:20,K504,False
전인교육원,요가,1.0,2.0,허가영,20,False,False,False,False,False,False,all,"1,4",,장소:체육관 방음실(705-8207),2024,2학기,HLU4006,1,,,False
전인교육원,테니스,1.0,2.0,이문진,25,False,False,False,False,False,False,all,"1,4",,"장소:테니스코트,문의:체육관(705-8207)",2024,2학기,HLU4007,1,,,False
전인교육원,배드민턴,1.0,2.0,남기정,35,False,False,False,False,False,False,all,"1,4",,장소:체육관(705-8207),2024,2학기,HLU4009,1,,,False
전인교육원,농구,1.0,2.0,김소은,24,False,False,False,False,False,False,all,"1,4",,장소:체육관(705-8207),2024,2학기,HLU4011,1,,,False
전인교육원,야구,1.0,2.0,남기정,34,False,False,False,False,False,False,all,"1,4",,"장소:운동장,문의:체육관(705-8207)",2024,2학기,HLU4014,1,,,False
전인교육원,골프,1.0,2.0,김용빈,24,False,False,False,False,False,False,all,"1,4",,장소:체육관(705-8207),2024,2학기,HLU4015,1,,,False
전인교육원,춤과풍물,1.0,2.0,강윤선,16,False,False,False,False,False,False,all,"1,4",,체육관 방음실/에어로빅및포크댄스(HLU4010)의 대체과목,2024,2학기,HLU4016,1,,,False
전인교육원,인간과인성,2.0,2.0,"김지영, 이규성",76,False,False,False,False,False,False,all,"1,4",,성적평가:S/U  /리더십특강(LED3003)의 대체과목,2024,2학기,HSS3001,1,월 13:30~15:20,J302,False
전인교육원,사회봉사,2.0,2.0,박혜윤,44,False,False,False,False,False,False,all,"1,4",,기초사회봉사(HSS3020)의 대체과목/성적평가:S/U  /2013-1학기부터 2학점과목으로 변경,2024,2학기,HSS3002,1,금 10:30~12:20,MA202,False
전인교육원,사회봉사,2.0,2.0,서영아,45,True,False,False,False,False,False,all,"1,4",,기초사회봉사(HSS3020)의 대체과목/성적평가:S/U  /2013-1학기부터 2학점과목으로 변경,2024,2학기,HSS3002,2,금 10:30~12:20,MA204,False
전인교육원,사회봉사,2.0,2.0,최윤희,36,False,False,False,False,False,False,"2,3,4","1,4",,기초사회봉사(HSS3020)의 대체과목/성적평가:S/U  /2013-1학기부터 2학점과목으로 변경,2024,2학기,HSS3002,3,목 15:00~16:50,K504,False
전인교육원,사회봉사,2.0,2.0,이강오,27,False,False,False,False,False,False,"1,2,3","1,4",,기초사회봉사(HSS3020)의 대체과목/성적평가:S/U  /2013-1학기부터 2학점과목으로 변경,2024,2학기,HSS3002,4,수 16:30~18:20,GN304,False
